zoo_label,tau,nearest_zoo,nearest_cograph,status,cograph_measure,call,definition_source,verification,verified_scope,note
BG-index,0.952,Leverage,leverage,implemented,beta_measure,"centrality(x, measures = ""beta_measure"")",van den Brink-Gilles1992 FEW565 definition2.1/example2.2 pp3-4 visually read; 2000 DOI10.1016/S0378-8733(00)00019-8 definition2.1; negative variant Boldi-Vigna2014 DOI10.1080/15427951.2013.865686 arxiv1308.2140 p26,batch32/run_equivalence.R: independent NetworkX predecessor queries with exact Fraction arithmetic and exhaustive joint predecessor-choice enumeration through5 vertices; original diamond example in public tests,simple unweighted directed and undirected graphs; positive and negative variants; all disconnected graphs and isolates,"Positive default sums reciprocal successor in-degrees; negative reverses graph. Both coincide on undirected graphs. Loops/parallels removed, weights/mode/inversion/cutoff ignored. Isolates0; raw mass equals number of dominated nodes; normalized=True max-scales, not unit-sum. Original weighted extension excluded"
Bridging coefficient,0.952,Leverage,leverage,implemented,bridging_coefficient,"centrality(x, measures = ""bridging_coefficient"")",https://doi.org/10.1145/1401890.1401934,batch12/run_equivalence.R: reciprocal degrees via NetworkX neighbourhoods,simple undirected unweighted graphs,
beta-measure,0.952,Leverage,leverage,implemented,beta_measure,"centrality(x, measures = ""beta_measure"")",van den Brink-Gilles1992 FEW565 definition2.1/example2.2 pp3-4 visually read; 2000 DOI10.1016/S0378-8733(00)00019-8 definition2.1; negative variant Boldi-Vigna2014 DOI10.1080/15427951.2013.865686 arxiv1308.2140 p26,batch32/run_equivalence.R: independent NetworkX predecessor queries with exact Fraction arithmetic and exhaustive joint predecessor-choice enumeration through5 vertices; original diamond example in public tests,simple unweighted directed and undirected graphs; positive and negative variants; all disconnected graphs and isolates,"Positive default sums reciprocal successor in-degrees; negative reverses graph. Both coincide on undirected graphs. Loops/parallels removed, weights/mode/inversion/cutoff ignored. Isolates0; raw mass equals number of dominated nodes; normalized=True max-scales, not unit-sum. Original weighted extension excluded"
INF centrality,0.952,Leverage,leverage,pending review,,,,,,
Counting Betweenness,0.951,Degree,degree,pending review,,,,,,
Neighborhood centrality,0.951,Gravity centrality,gravity,implemented,neighbor_distance,"centrality(x, measures = ""neighbor_distance"")","Liu-Tang-Zhou-Do2016 DOI10.1016/j.physa.2016.02.028 PhysicaA452:289-298 section2.3 eq1; read in the author preprint arXiv:1511.00441v1 page4, visually inspected as a page render, PDF SHA256 01fcbac501df07f022ff4ad588d6d5027c5ebba3f06dbcbc202e04c7618f6292. The paywalled version of record was NOT read","batch42/run_equivalence.R: same four independent walk-counting references and exact rational cross-checks as the neighbor distance row, crossing nd_order 0/1/2/3/5, nd_decay 0.2/1/-0.5 and nd_mass degree/coreness, which is the general n-step, general-benchmark form this label names","simple undirected unweighted graphs; nd_order 0/1/2/3/5, nd_decay 0.2/1/-0.5 and both benchmark centralities; disconnected graphs and isolates","One implementation, neighbor_distance, covers both labels: Zoo2.279 is Zoo2.280 at theta=degree, n=2, a=0.2, which are the cograph defaults; both Zoo sections cite the same paper [236]. Implements eq1 literally: the sums are nested and each level excludes only the immediately preceding node, so the k-th term sums theta over the endpoints of the non-backtracking walks of length k, once per walk, and a walk may revisit any earlier node including the focal one. The Zoo paraphrases both entries with sums over N^(k)(i), the k-hop distance shells; the two agree on trees and differ on any graph with a triangle or a cycle of length at most2n. Recomputed this session in exact Fraction arithmetic on the triangle-plus-pendant A-B,A-C,B-C,A-D: walks give A=4.16, B=C=3.24, D=1.76 while shells give A=4.00, B=C=3.04, D=1.76; on C4 walks give 2.96 everywhere and shells 2.88. No shell variant is shipped: that form appears only in the Zoo paraphrase, which also mis-cites [235] (Liu et al.2015 SciRep5:13172) for the naming, a paper whose full text contains no mention of the measure. nd_order is a nonnegative whole number and0 returns theta; nd_decay is any finite number, outside the source's [0,1] by explicit cograph extension; nd_mass is degree or coreness, the source's two benchmarks. Simple undirected unweighted skeleton; loops removed because a loop makes the previous node ambiguous; parallels count once; weights/mode/inversion/cutoff ignored. Isolates score0, raw scores are component-local, empty graphs return no scores, and large orders overflow because walk counts grow geometrically. No normalization in the source; normalized=True max-scales as a cograph convention. The published PhysicaA version was NOT read, only arXiv v1. No author software exists and the paper prints no table of node scores, so there is no published numerical fixture and no author-parity or spreading-performance claim"
Coleman-Theil disorder index,0.95,Degree,degree,implemented,coleman_theil,"centrality(x, measures = ""coleman_theil"")","Burt STRUCTURE4.2 Reference Manual copyright1991 pp181-183, original author manual read and p183 visually inspected; reproduces Burt1992 eq2.9 with mutual investments and oligopoly weights1",batch28/run_equivalence.R: NetworkX local_constraint and independent direct entropy; exact Fraction dyadic constraints; mpmath100 near-uniform weighted stars; explicit author isolate0/single-contact1 conventions,finite nonnegative directed/undirected weights; mutual tie sums; full supplied graph; zero ties absent and loops removed; default organizational multipliers1,Burt manual explicitly sets isolates0 and one-contact nodes1; JUNG isolatesNaN are not replicated. Contact count uses distinct positive mutual neighbors. Remaining parallel weights sum; mode/inversion ignored. Unit-interval raw index; normalized=True additionally max-scales. Stable near-uniform entropy; indistinguishable relative constraints within16 machine epsilons treated as uniform
ArticleRank,0.949,PageRank,pagerank,pending review,,,,,,"Original Li-Willett (2009) eq2 includes mean reference count in numerator, omitted by Zoo section2.11; original NR counts may include references outside the induced citation network. Variant and data-input contract need resolution; https://eprints.whiterose.ac.uk/id/eprint/10323/1/Willett_10323.pdf"
Global importance of nodes (GIN),0.949,Laplacian,laplacian,pending review,,,,,,
Extended diversity-strength ranking (EDSR),0.949,h-index strength,hindex_strength,pending review,,,,,,
Icentr,0.948,Diffusion Degree,diffusion,pending review,,,,,,
Improved entropy-based centrality,0.948,CollInf,collective_influence,pending review,,,,,,
Extended mixed gravitational centrality,0.947,h-index strength,hindex_strength,implemented,extended_mixed_gravity,"centrality(x, measures = ""extended_mixed_gravity"")",Wang-Li-Xia2018 DOI10.1016/j.amc.2018.04.028 as explicitly reproduced by Li-Huang2022 DOI10.1038/s41598-022-14005-3 eq5-8; reproduction PDFp2 visually read; original full equations unread,"batch39/run_equivalence.R: NetworkX core/BFS and nested source-partner sums; exhaustive induced-subset cores, integer-power distances and exact Fraction arithmetic; public analytic families and raw outer-sum normalization",simple undirected unweighted graphs,"Default inner radius3 follows the explicit published reproduction; radius1 matches the Zoo literal neighbor sum. Focal core and partner degree fixed on original skeleton. Extended version sums immediate neighbors' raw MGC scores before final normalization. Source original2018 full equations/software unread; no author-code parity claim. Radius NULL/Inf allreachable, fractional literal; auto is explicit cograph rounded-half-mean heuristic. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff/gravity_mass ignored; isolates0"
k-shell iteration factor(KS-IF),0.947,Total communicability,communicability,pending review,,,,,,
Mediative Effects Centrality (MEC),0.946,Communicability betweenness,communicability_betweenness,pending review,,,,,,"candidate_review47 CLEARED THE SOURCE BLOCK, BUT MEC ITSELF IS STILL UNIMPLEMENTED. Friedkin1991 DOI10.1086/229694 is open access at escholarship.org/uc/item/2jh298gp (PDF SHA256 25913685fa28569842dc5ccf564665b45f796c4ad65a7bf2346973f0e5472cf9, verified this session) and the full text WAS read from rendered page images, the deposit being a 600dpi scan with no text layer. IEC, eq(20) p1489, is implemented in batch49; MEC is eqs(21)-(23) and its pages were NOT read - candidate_review47 explicitly records the MEC sections as not inspected except where they share Table1. Table1 pp1492-1494 prints MEC for all 21 connected five-node graphs, so a complete published fixture already exists for it; what is missing is the equations. Sibling label 'Total effects centrality (TEC)', eq(18) p1489, is likewise unimplemented, although batch49's kernel already computes it as its stationary column and reproduces all 105 printed TEC values"
Multi-evidence centrality (MeC),0.946,Communicability betweenness,communicability_betweenness,pending review,,,,,,
Map Equation Centrality (MEC),0.946,Degree,degree,implemented,map_equation,"centrality(x, measures = ""map_equation"")","Blocker-Nieves-Rosvall2022 DOI10.1007/s41109-022-00477-9 eq2/9-11, Figure2 and Table1; arxiv2201.12590 pages4-6 visually read. Flow: Lambiotte-Rosvall2012 DOI10.1103/PhysRevE.85.056107",batch35/run_equivalence.R: NetworkX PageRank and direct silenced-code differences; external Infomap2.15.1; published_audit.R all24table rows and Figure2; hierarchy_audit.R actual3-level codebooks; stress.R mpmath700,nonnegative weighted directed or undirected graphs; fixed one-level or leaf-module partitions; recorded uniform-node and unrecorded link teleportation,"Default paper convention includes module-exit flow; explicit infomap convention omits it and reproduces Infomap2.15.1/Table1. Figure2 supports paper convention. Zoo subtraction adds a different self-information term. Default damping0.85, below1; NULL membership one module, named labels reordered. Loops removed; mode/inversion/cutoff ignored. Edgeless unrecorded0, recorded uniform. Stable tiny scores can differ from Infomap rounding to0; no automatic partition optimization"
Resistance curvature,0.946,Spanning tree centrality (STC),spanning_tree,implemented,resistance_curvature,"centrality(x, measures = ""resistance_curvature"")",https://doi.org/10.1088/2632-072X/ac730d; https://arxiv.org/pdf/2201.06385,batch16/run_equivalence.R: NetworkX resistance_distance and exhaustive conductance-weighted spanning-tree degree expectations,"undirected nonnegative weighted graphs, componentwise; explicit directed conductance-sum projection","Devriendt-Lambiotte node curvature, not link curvature; isolates=1; negative scores retained; raw sum equals component count; costly"
ProfitLeader,0.945,MNC,mnc,pending review,,,,,,
Volume centrality,0.945,m-reach,kreach,implemented,volume,"centrality(x, measures = ""volume"")",https://arxiv.org/pdf/1108.1067v1,"batch13/run_equivalence.R: NetworkX BFS neighbourhoods and original degrees, radii 0/1/2/3/Inf",simple undirected unweighted graphs,closed neighbourhood including focal node; original graph degrees; default radius=2; Inf includes only reachable nodes
Global Structure Model (GSM),0.944,Gravity centrality,gravity,implemented,global_structure,"centrality(x, measures = ""global_structure"")",https://doi.org/10.1038/s41598-021-84684-x eq5-8,"batch21/run_equivalence.R: NetworkX core_number/BFS, exhaustive induced-subset cores and Floyd-Warshall; published focal calculation on prose-consistent constructed graph",simple undirected unweighted graphs,exp(core_i/N) times sum core_j/d_ij; original N includes isolates; unreachable partners contribute0; no radius truncation
Weighted TOPSIS,0.944,Harmonic,harmonic,pending review,,,,,,
NL centrality,0.943,Current-flow Closeness,current_flow_closeness,pending review,,,,,,
Random walk decay,0.941,PageRank,pagerank,implemented,random_walk_decay,"centrality(x, measures = ""random_walk_decay"")","Was-Rahwan-Skibski2019 DOI10.1609/aaai.v33i01.33012197; original published PDF read, Definition1 eq6 and transition eq3 with terminal sinks","batch25/run_equivalence.R: NumPy full-resolvent ratios, explicit first-visit series, SymPy exact rational inverse, 100-digit mpmath; published Examples4/5 tables and Example2 first-visit probabilities; Example3 discrepancies retained","directed and undirected nonnegative weighted graphs with loops; finite decay in [0,1), nonnegative node starting weights; parallel multiplicity when simplify=FALSE","first arrival only, includes own starting mass at time0; sinks terminate outside graph without redistribution; node masses default1 and are not probability-normalized; decay0/all-zero masses explicit extensions; loops retained, mode/inversion ignored; named masses reorder by node labels; costly; original Example3 internally inconsistent but Examples4/5 tables agree"
TOPSIS-RE,0.941,Betweenness,betweenness,pending review,,,,,,
Weighted formal concept analysis (WFCA),0.94,Degree,degree,pending review,,,,,,
Correlation centrality,0.94,Infection number,infection,pending review,,,,,,
Random walk-based gravity (DFS-Gravity),0.94,Laplacian,laplacian,pending review,,,,,,
Improved K-shell decomposition (IKSD),0.94,Lobby index,lobby,pending review,,,,,,
All-around score,0.939,Degree,degree,pending review,,,,,,
Entropy and mutual information-based centrality (EMI),0.939,Degree,degree,pending review,,,,,,
X-nonbacktracking centrality,0.938,Subgraph,subgraph,pending review,,,,,,"Torres2021 DOI10.1137/20M1352132 eq3.11 uses eigenvectors AFTER each focal deletion with v^T P v=1, not unit length. Pinned inbox author code defaults approx=True using original graph; approx=False computes deletion version. Degenerate/reducible remaining NB matrices and vanishing normalization require defensible domain handling; do not map to existing NB centrality or default author approximation"
μ-Power Community Index (μ-PCI),0.937,Lobby index,lobby,pending review,,,,,,
KDEC method,0.937,Gravity centrality,gravity,pending review,,,,,,
MCC,0.935,Degree,degree,implemented,mcc,"centrality(x, measures = ""mcc"")",https://doi.org/10.1186/1752-0509-8-S4-S11,batch13/run_equivalence.R: NetworkX maximal cliques plus exhaustive subset oracle for n<=10,simple undirected unweighted graphs,excludes singleton cliques: isolates=0 is an explicit cograph convention; exponential cost; errors on double-precision overflow
Local structural centrality (LSC),0.935,Markov,markov,pending review,,,,,,
Analytic Hierarchy Process (AHP) centrality,0.935,Harmonic,harmonic,pending review,,,,,,
Hybrid Characteristic Centrality (HCC),0.935,Diffusion Degree,diffusion,implemented,hcc,"centrality(x, measures = ""hcc"")","Liu-Zheng2023 DOI10.1038/s41598-023-30308-5 ScientificReports13:3197, eqs(3) and(4) and the eight-step E-shell hierarchy decomposition journal p3, worked example, figure1 and Tables1-3 p4; the PUBLISHER PDF WAS READ (fully open access, CC-BY), retained with SHA256 f0c81bd945cd021ce3636bee9bd5fe73f37cdd9aa67a5715d4823490049b9b95 recomputed this session, pages2 and3 rendered at165dpi and page4 at200dpi and all three visually read, plus a500dpi crop of the figure1 graph for the edge transcription; Zoo pages99-100 read for the divergence","batch46/run_equivalence.R: four references, none using production's incrementally updated residual-degree vector, its dense float64 matrix-vector round evaluation or its tolerance-based minimum set - a NetworkX induced-subgraph rebuild every round with exact Fraction extended degrees and exact rational minima, a repeated-minimum-extraction peel over rational-keyed defaultdict buckets with in-place residual decrements and two-hop local rebucketing, the same peel decided by 60-digit mpmath comparisons, and EHCC as an exact object-dtype (A+I) product; five dyadic delta settings0, 1/4, 1/2, 3/4 and1 on all5,532 fixtures, with the sum-of-extended-degrees identity, the completeness of the position indexes1..pos_max, zero-extended-degree-iff-isolate with isolates leaving in round one, HCC in[0,2], the uniform-extended-degree and q-star closed forms and degree agreement as invariants, a brute-force ordered-walk extended degree through5 vertices, seven refused out-of-domain delta values, plus wrapper, normalization, permutation and input-projection checks; published_audit.R reproduces85 of the86 values the paper prints - all of Tables1 and2, both worked lines, and19 of the20 Table3 entries","simple undirected unweighted graphs; the source's delta=0.5 and the whole stated domain [0,1] at 0, 1/4, 1/2, 3/4 and 1; disconnected graphs, isolates, edgeless and singleton graphs under stated extensions","One source and one implementation for both labels: HCC is eqs(3)-(4) and EHCC eq(5), the closed-neighbourhood sum of HCC with the focal node counted once. THE PAPER'S PRINTED STEP3 IS A TYPO: it reads S_p=arg max while the same sentence calls S_p 'the set of minimum nodes', the preceding paragraph says the minimum-extended-degree nodes are deleted, and Table2's column is headed 'Minimum extended degree' with the increasing values2, 2.5, 3, 4.5, 5, 6; the arg min reading is implemented and reproduces every printed row, while the literal arg max peel deletes {e,g} first and finishes in four rounds. The peel recomputes k^ex on the residual graph after each removal (step6) but eq(4)'s k^ex and k^ex_max are ORIGINAL-graph values: node d's original9.5 gives the printed1.86 whereas its residual6 gives1.55 against the original maximum and2.00 against the residual maximum, missing five resp. eight of the ten printed HCC values. A round removes the whole current-minimum set simultaneously, so ties need no ordering rule; production compares against the round minimum inside a relative tolerance because delta*k+(1-delta)*S is exact in binary floating point only for a dyadic delta, and the exact-rational reference agrees on every removal set on all5,532 fixtures at all five deltas. k^ex_max and pos_max are single GLOBAL constants, so the measure is NOT component-local and a disconnected addition rescales the two terms independently rather than by a common factor. hcc_delta defaults to the source's0.5 and is restricted to the source's stated[0,1]; outside it the extended degree can go negative and eq(4) divides by a nonpositive maximum, so cograph raises cograph_bad_parameter rather than extending. An isolate has extended degree0, the global minimum for every delta in[0,1], so it always leaves in round one; an edgeless graph has k^ex_max=0 and eq(4)'s first term is0/0, written as zero, leaving pos/pos_max=1/1, so every node of an edgeless graph including a singleton scores exactly1. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff ignored; directed input is symmetrised, which the source does not define; empty graphs return no scores; raw HCC lies in[0,2] and normalized=True max-scales on top of eq(4)'s own two divisions. ONE PRINTED VALUE IS NOT REPRODUCED: Table3 prints EHCC(g)=10.01 where the exact value661/66=10.0151515 rounds to10.02; 10.01 is its truncation, but six other printed cells (HCC a, b, j and EHCC d, e, i) require rounding and fail under truncation, so no single convention reproduces all twenty Table3 entries; the ranking is unaffected. The Zoo calls E-shell 'a variant of k-shell decomposition that uses d^ex(i)'; it is not one - there is no outer level loop and no repeat-until-stable inner loop - and the research note's claim that the two disagree on figure1 is CORRECTED here: only an integer-level reading disagrees there (it merges {c,h} and {a,b,i}), while a distinct-value-level reading coincides on that graph because nothing cascades; the four-node path separates them, E-shell positions1,2,2,1 against one single shell. The paper's SIR benchmark was not reproduced and no author software was located; the paper states only that it used Python3.11.0"
Iterative resource allocation (IRA),0.934,Local H-index,local_hindex,implemented,ira,"centrality(x, measures = ""ira"")","Ren-Zeng-Chen-Liao-Liu2014 DOI10.1209/0295-5075/106/48005 EPL106(4):48005 eqs1-3 p2, algorithm i-iii p3, figure1, table1 and the printed eq4 matrix; the ORIGINAL was obtained and read as the University of Fribourg RERO DOC author postprint recovered through the Internet Archive (the live doc.rero.ch URL Unpaywall and OpenAlex record is dead), PDF SHA256 6afce148d2be9945a49a75f69ae39dd927c6d1aa79fb459171482c79de02dec0 recomputed this session; pages2 and3 rendered at 200dpi and visually read","batch43/run_equivalence.R: six references, none using production's dense float64 push with a literal difference test - pure-Python adjacency-list propagation in exact Fractions whose stop rule is an exact rational comparison, binary exponentiation of A in exact Fractions, a per-component eigh of the symmetrised matrix with the stopping index taken from the closed form of I(t+1)-I(t) and unit-modulus eigenvalues snapped to the structural +1/-1, the exact closed-form +1 and -1 spectral projections evaluated from a bipartition and integer products, mpmath dps60 and NumPy longdouble; crossing ira_mass coreness/degree x ira_alpha 1, 1/2, 2 on all5,532 fixtures with column-stochasticity, convergence-classification and bipartite-prediction invariants plus wrapper, normalization, permutation and input-projection checks; published_audit.R reproduces all25 printed eq4 entries, all20 printed table1 entries, the printed I(50) fractions and the figure1 caption k-shells","simple undirected unweighted graphs; ira_mass coreness/degree, ira_alpha 1, 1/2 and2, tolerance1e-6 and iteration bound1000; disconnected graphs, isolates and the bipartite non-convergent case","I(0)=1 at every node, I(t+1)=A I(t) with a_ij=theta_i^alpha/(sum_{u in Gamma(j)} theta_u^alpha) delta_ij; defaults ira_mass=coreness (the k-shell of the worked example), ira_alpha=1 and ira_tol=1e-6 are the source's own values, and ira_max_iter=1000 covers its stated t_c<=2N-1 for n<=500. Every non-empty column sums to1, so each component's scores sum to its vertex count. IMPORTANT, and unmentioned by both the paper and Zoo2.204: A is a reversible walk whose only unit-modulus eigenvalues are exactly +1 per component and exactly -1 per bipartite component, and the coefficient of the -1 eigenvector in I(0)=1 is the component's class-size difference, so the iteration has a limit exactly when every bipartite component has equal class sizes. Verified this session: the3-star alternates for ever between (3,1/3,1/3,1/3) and (1,1,1,1) while P4 converges to (2/3,4/3,4/3,2/3). cograph keeps the source's rule, stops at ira_max_iter, raises the classed warning cograph_no_converge naming the largest remaining change, and returns I(ira_max_iter), which is parity-dependent and documented as such; it ships no Cesaro-average variant, because that converges but is not the source's algorithm, and the equivalence run compares the classification on every graph and configuration. The exact limit has the closed form I_i proportional to theta_i^alpha times the neighbourhood mass sum, which reproduces the paper's printed [15/8,5/4,5/4,5/16,5/16] exactly. Zoo2.204 states the transpose and asks for the principal left eigenvector: the same object up to scale where a limit exists, with no sum-to-n scale, and it sidesteps rather than reports the bipartite case. All25 printed eq4 entries and all20 printed table1 entries reproduce, table1 from the exact steady states; ONE qualification, panel (a) node0 has exact limit15/8 which the paper rounds up to1.88, while the iteration approaches from below and at the source's own epsilon returns1.8749998, which rounds to1.87. The paper's own claim that I(50)=A^50 I(0) equals those fractions is off by up to1.86e-7, computed here. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff ignored. Isolates score0, the value of the source's empty sum, so sum_i I_i=n holds only without isolates; theta=0 never reaches a denominator because an isolate is in no neighbourhood. Empty graphs return no scores; normalized=True max-scales as a cograph convention. No author software exists and no spreading-performance claim is made"
Global and local information (GLI) method,0.933,Diffusion Degree,diffusion,pending review,,,,,,
Eigentrust,0.932,Degree,degree,pending review,,,,,,
Seeley’s index,0.932,Degree,degree,pending review,,,,,,
X-degree centrality,0.931,Diffusion Degree,diffusion,implemented,x_degree,"centrality(x, measures = ""x_degree"")",Torres et al.2021 DOI10.1137/20M1352132 Proposition3.8 eq3.15; published PDF visually read; author inbox commit401bf028b56886ce67b15b2c5eacd7a28dbb4a48,"batch27/run_equivalence.R: unchanged author x_degree function extracted by AST, independent nonbacktracking blocks DFE, explicit four-edge nonbacktracking walk enumeration; all simple labeled graphs through5 vertices",simple undirected unweighted graphs,"Original neighbor degrees before removal; counts oriented four-edge nonbacktracking walks centered at node. Simple undirected unweighted skeleton projection; isolates, leaves and whole stars zero. This is the static score, not iterative immunization or an exact eigendrop/bound claim"
Diversity-strength ranking (DSR),0.931,Infection number,infection,pending review,,,,,,
Node importance contribution correlation matrix (NICCM) method,0.931,Random walk centrality,random_walk,pending review,,,,,,
Entropy-based gravity model,0.929,Communicability betweenness,communicability_betweenness,pending review,,,,,,
LRIC (PPR),0.928,Degree,degree,pending review,,,,,,
Hybrid Global Structure Model (H-GSM),0.928,Laplacian,laplacian,implemented,hybrid_global_structure,"centrality(x, measures = ""hybrid_global_structure"")",https://doi.org/10.1038/s41598-023-37570-7 eq6-8,"batch21/run_equivalence.R: NetworkX cores/BFS and direct formula, exhaustive cores/Floyd-Warshall; stress.R: 100-digit mpmath clique identities",simple undirected unweighted graphs,self_i=exp(core_i*degree_i/N); distance power=ceil(log2(mean(self))); global N and mean include isolates; unreachable partners contribute0; log-space normalized output supports raw overflow
